,Title,Price,PID,Location,Bedroom,Bathroom,Toilet,Status,Date Added,Date Updated
0,4 bedroom House for rent Ikota Lekki Lagos," 5,500,000/year ",7KZAE,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",26 Feb 2024,02 May 2024
1,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",1LCWR,Ikate Lekki Lagos,2,3,3,"Furnished ,Serviced ,Newly Built",02 Apr 2024,02 May 2024
2,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",4LBHX,Ikate Lekki Lagos,2,3,3,"Furnished ,Serviced ,Newly Built",18 Mar 2024,02 May 2024
3,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",4LENM,Ikate Lekki Lagos,2,2,2,"Serviced ,Newly Built",17 Apr 2024,02 May 2024
4,2 bedroom Flat / Apartment for rent Aguda Surulere Lagos," 2,500,000/year ",8LCCU,Aguda Surulere Lagos,2,0,0,,25 Mar 2024,02 May 2024
5,5 bedroom House for rent Ikoyi Lagos," 23,000,000/year ",7LEAU,Ikoyi Lagos,5,6,6,"Serviced ,Newly Built",12 Apr 2024,02 May 2024
6,4 bedroom House for rent Off Harris Drive VGC Lekki Lagos," 6,000,000/year ",8LENG,Off Harris Drive Vgc Lekki Lagos,4,5,5,Newly Built,17 Apr 2024,02 May 2024
7,4 bedroom House for rent orchid Lekki Lagos," 7,000,000/year ",6LEKJ,Orchid Lekki Lagos,4,5,5,Newly Built,16 Apr 2024,02 May 2024
8,4 bedroom House for rent Ikota Lekki Lagos," 5,500,000/year ",3LENP,Ikota Lekki Lagos,4,5,5,Newly Built,17 Apr 2024,02 May 2024
9,5 bedroom House for rent Banana Island Ikoyi Lagos," 60,000,000/year ",1LBQE,Banana Island Ikoyi Lagos,5,6,6,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
10,5 bedroom House for rent VGC Lekki Lagos," 15,000,000/year ",7LCWR,Vgc Lekki Lagos,5,6,6,"Furnished ,Serviced ,Newly Built",02 Apr 2024,02 May 2024
11,4 bedroom House for rent Ikota Lekki Lagos," 5,000,000/year ",6KZLB,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",29 Feb 2024,02 May 2024
12,4 bedroom House for rent Orchid chevron Lekki Lagos," 7,000,000/year ",6LCWQ,Orchid Chevron Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",02 Apr 2024,02 May 2024
13,4 bedroom House for rent Osapa london Lekki Lagos," 7,000,000/year ",2LDQL,Osapa London Lekki Lagos,4,5,5,Newly Built,08 Apr 2024,02 May 2024
14,4 bedroom House for rent Lekki County Ikota Lekki Lagos," 6,000,000/year ",4LBQF,Lekki County Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
15,4 bedroom House for rent Lekki County Ikota Lekki Lagos," 6,000,000/year ",4LBQF,Lekki County Ikota Lekki Lagos,4,5,5,,20 Mar 2024,02 May 2024
16,5 bedroom House for rent Victory Park Estate Osapa london Lekki Lagos," 16,000,000/year ",1LCRK,Victory Park Estate Osapa London Lekki Lagos,5,6,6,Newly Built,30 Mar 2024,02 May 2024
17,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 13,000,000/year ",0LCRK,Lekki Phase 1 Lekki Lagos,4,5,5,Newly Built,30 Mar 2024,02 May 2024
18,3 bedroom House for rent Ologolo Lekki Lagos," 5,000,000/year ",5LBHZ,Ologolo Lekki Lagos,3,4,4,"Furnished ,Serviced ,Newly Built",18 Mar 2024,02 May 2024
19,2 bedroom Flat / Apartment for rent Iyana Ipaja Ipaja Lagos," 1,200,000/year ",8LFAQ,Iyana Ipaja Ipaja Lagos,2,0,0,,22 Apr 2024,02 May 2024
20,3 bedroom Flat / Apartment for rent Ikola Ipaja Lagos," 1,000,000/year ",4LFKS,Ikola Ipaja Lagos,3,0,0,,25 Apr 2024,02 May 2024
21,4 bedroom House for rent Ikota Lekki Lagos," 5,500,000/year ",4KZDS,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",27 Feb 2024,02 May 2024
22,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",0LENN,Lekki Phase 1 Lekki Lagos,5,6,6,"Serviced ,Newly Built",17 Apr 2024,02 May 2024
23,4 bedroom House for rent Osapa london Lekki Lagos," 7,000,000/year ",3LDBN,Osapa London Lekki Lagos,4,5,5,Serviced,03 Apr 2024,02 May 2024
24,4 bedroom House for rent  orchid Lekki Lagos," 7,000,000/year ",8LDHT,Orchid Lekki Lagos,4,5,5,"Serviced ,Newly Built",05 Apr 2024,02 May 2024
25,4 bedroom House for rent orchid Lekki Lagos," 5,000,000/year ",9LEKE,Orchid Lekki Lagos,4,5,5,Newly Built,16 Apr 2024,02 May 2024
26,3 bedroom House for rent Ikoyi Lagos," 25,000/year ",9LCVN,Ikoyi Lagos,3,4,4,"Furnished ,Serviced ,Newly Built",01 Apr 2024,02 May 2024
27,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",4KZAF,Ikate Lekki Lagos,2,3,3,"Furnished ,Serviced ,Newly Built",26 Feb 2024,02 May 2024
28,4 bedroom House for rent Ikate Lekki Lagos," 8,000,000/year ",5LEBT,Ikate Lekki Lagos,4,5,5,"Serviced ,Newly Built",13 Apr 2024,02 May 2024
29,1 bedroom Flat / Apartment for rent Lekki County Homes Ikota Lekki Lagos," 2,500,000/year ",4LFZD,Lekki County Homes Ikota Lekki Lagos,1,1,2,Serviced,30 Apr 2024,02 May 2024
30,"1 bedroom Flat / Apartment for rent Jacob Street, Fadeyi Yaba Yaba Lagos"," 1,300,000/year ",2LEUB,"Jacob Street, Fadeyi Yaba Yaba Lagos",1,0,0,,19 Apr 2024,02 May 2024
31,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",7KXYE,Lekki Phase 1 Lekki Lagos,5,6,6,Serviced,15 Feb 2024,02 May 2024
32,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",7KXYE,Lekki Phase 1 Lekki Lagos,5,6,6,,15 Feb 2024,02 May 2024
33,2 bedroom House for rent Ologolo Lekki Lagos," 5,500,000/year ",0LFLS,Ologolo Lekki Lagos,2,3,3,Serviced,25 Apr 2024,02 May 2024
